ID,Year,Risk,LCS,Net Profit,Total Assets,Total Liabilites,Age,Sales,BookV,MarketV
INTP,2017,0.04766,3,1859818000000.00,28863676000000.00,4307169000000.00,1985,14431211000000.00,24556507000000.00,80803035793050.00
SMBR,2017,0.04023,2,146648432000.00,5060337247000.00,1647477388000.00,1974,1551524990000.00,3412859859000.00,37714229675400.00
SMCB,2017,0.02508,3,-758045000000.00,19626403000000.00,12429452000000.00,1971,9382120000000.00,7196951000000.00,6398521500000.00
SMGR,2017,0.04056,2,2043025914000.00,48963502966000.00,18524450664000.00,1953,27813664176000.00,30439052302000.00,58722048000000.00
WTON,2017,0.01094,2,340458859391.00,7067976095043.00,4320040760958.00,1997,5362263237778.00,2747935334085.00,4357733300000.00
AMFG,2017,0.03697,2,38569000000.00,6267816000000.00,2718939000000.00,1971,3885791000000.00,3548877000000.00,2614850000000.00
ARNA,2017,0.01345,3,122183909643.00,1601346561573.00,571946769034.00,1993,1732985361870.00,1029399792539.00,2510769393792.00
IKAI,2017,0.18678,4,-43578020000.00,229825182000.00,335252238000.00,1991,13297423000.00,-105427056000.00,57771016378.00
KIAS,2017,0.04460,5,-85300976555.00,1767603505697.00,340873208857.00,1968,810064124425.00,1426730296840.00,1492910000000.00
MLIA,2017,0.67957,5,47534072000.00,5186685508000.00,3432390525000.00,1986,6277135709000.00,1754295083000.00,780570000000.00
TOTO,2017,0.02618,3,278935804544.00,2826490815501.00,1132699218954.00,1977,2171861931164.00,1693791596547.00,4210560000000.00
ALKA,2017,0.03098,4,15406256000.00,305208703000.00,226717826000.00,1972,1932783905000.00,78490877000.00,155345506830.00
ALMI,2017,0.02505,4,8446455684.00,2376281796928.00,1997411244539.00,1978,3484905171484.00,378870552389.00,135520000000.00
BAJA,2017,0.03074,3,-22984761751.00,964448936464.00,774432726191.00,1993,1218317826843.00,172016210273.00,288000000000.00
BTON,2017,0.04926,5,11370927212.00,183501650442.00,28862718117.00,1995,88010862980.00,154638932325.00,81360000000.00
GDST,2017,0.03752,3,10284697314.00,1286954720465.00,392632933617.00,1989,1228528694746.00,845279412716.00,672400000000.00
INAI,2017,0.00517,3,38651704520.00,1213916545120.00,936511874370.00,1971,980285748450.00,277404670750.00,239500800000.00
ISSP,2017,0.01394,3,8634000000.00,6269365000000.00,3428424000000.00,1971,3662810000000.00,2840941000000.00,826389084025.00
JKSW,2017,0.04269,5,-4017866640.00,252294581992.00,698066277185.00,1974,11819781048.00,-445771695193.00,14550000000.00
JPRS,2017,0.00967,5,-14894192084.00,357404148034.00,66219547909.00,1973,244324396080.00,291184600125.00,96750000000.00
LION,2017,0.03117,3,9282943009.00,681937947736.00,229630859719.00,1972,349690796141.00,452307088017.00,397812240000.00
